block,t_start_min,t_end_min,block_depth_mm,intensity_mm_per_h,cumulative_mm
1,0,10,0.2457,1.474,0.2457
2,10,20,0.2467,1.48,0.4924
3,20,30,0.2477,1.486,0.7401
4,30,40,0.2488,1.493,0.9889
5,40,50,0.2499,1.499,1.2388
6,50,60,0.2511,1.507,1.4899
7,60,70,0.2523,1.514,1.7422
8,70,80,0.2535,1.521,1.9957
9,80,90,0.2548,1.529,2.2505
10,90,100,0.2562,1.537,2.5067
11,100,110,0.2576,1.546,2.7643
12,110,120,0.2591,1.555,3.0234
13,120,130,0.2606,1.564,3.284
14,130,140,0.2622,1.573,3.5462
15,140,150,0.2639,1.583,3.8101
16,150,160,0.2656,1.594,4.0757
17,160,170,0.2675,1.605,4.3432
18,170,180,0.2694,1.616,4.6126
19,180,190,0.2714,1.628,4.884
20,190,200,0.2735,1.641,5.1575
21,200,210,0.2758,1.655,5.4333
22,210,220,0.2781,1.669,5.7114
23,220,230,0.2806,1.684,5.992
24,230,240,0.2833,1.7,6.2753
25,240,250,0.286,1.716,6.5613
26,250,260,0.289,1.734,6.8503
27,260,270,0.2921,1.753,7.1424
28,270,280,0.2955,1.773,7.4379
29,280,290,0.2991,1.795,7.737
30,290,300,0.3029,1.817,8.0399
31,300,310,0.307,1.842,8.3469
32,310,320,0.3114,1.868,8.6583
33,320,330,0.3161,1.897,8.9744
34,330,340,0.3212,1.927,9.2956
35,340,350,0.3268,1.961,9.6224
36,350,360,0.3328,1.997,9.9552
37,360,370,0.3394,2.036,10.2946
38,370,380,0.3467,2.08,10.6413
39,380,390,0.3546,2.128,10.9959
40,390,400,0.3635,2.181,11.3594
41,400,410,0.3733,2.24,11.7327
42,410,420,0.3843,2.306,12.117
43,420,430,0.3968,2.381,12.5138
44,430,440,0.4109,2.465,12.9247
45,440,450,0.4272,2.563,13.3519
46,450,460,0.446,2.676,13.7979
47,460,470,0.4681,2.809,14.266
48,470,480,0.4945,2.967,14.7605
49,480,490,0.5264,3.158,15.2869
50,490,500,0.566,3.396,15.8529
51,500,510,0.6162,3.697,16.4691
52,510,520,0.6821,4.093,17.1512
53,520,530,0.7726,4.636,17.9238
54,530,540,0.9048,5.429,18.8286
55,540,550,1.1168,6.701,19.9454
56,550,560,1.5139,9.083,21.4593
57,560,570,2.5427,15.256,24.002
58,570,580,12.5372,75.223,36.5392
59,580,590,4.129,24.774,40.6682
60,590,600,1.8809,11.285,42.5491
61,600,610,1.2797,7.678,43.8288
62,610,620,0.9969,5.981,44.8257
63,620,630,0.8319,4.991,45.6576
64,630,640,0.7235,4.341,46.3811
65,640,650,0.6467,3.88,47.0278
66,650,660,0.5895,3.537,47.6173
67,660,670,0.5451,3.271,48.1624
68,670,680,0.5097,3.058,48.6721
69,680,690,0.4807,2.884,49.1528
70,690,700,0.4566,2.74,49.6094
71,700,710,0.4362,2.617,50.0456
72,710,720,0.4188,2.513,50.4644
73,720,730,0.4036,2.422,50.868
74,730,740,0.3904,2.342,51.2584
75,740,750,0.3787,2.272,51.6371
76,750,760,0.3683,2.21,52.0054
77,760,770,0.3589,2.153,52.3643
78,770,780,0.3506,2.104,52.7149
79,780,790,0.343,2.058,53.0579
80,790,800,0.3361,2.017,53.394
81,800,810,0.3297,1.978,53.7237
82,810,820,0.3239,1.943,54.0476
83,820,830,0.3186,1.912,54.3662
84,830,840,0.3137,1.882,54.6799
85,840,850,0.3091,1.855,54.989
86,850,860,0.3049,1.829,55.2939
87,860,870,0.3009,1.805,55.5948
88,870,880,0.2972,1.783,55.892
89,880,890,0.2938,1.763,56.1858
90,890,900,0.2906,1.744,56.4764
91,900,910,0.2875,1.725,56.7639
92,910,920,0.2846,1.708,57.0485
93,920,930,0.2819,1.691,57.3304
94,930,940,0.2794,1.676,57.6098
95,940,950,0.2769,1.661,57.8867
96,950,960,0.2747,1.648,58.1614
97,960,970,0.2725,1.635,58.4339
98,970,980,0.2704,1.622,58.7043
99,980,990,0.2684,1.61,58.9727
100,990,1000,0.2665,1.599,59.2392
101,1000,1010,0.2648,1.589,59.504
102,1010,1020,0.263,1.578,59.767
103,1020,1030,0.2614,1.568,60.0284
104,1030,1040,0.2598,1.559,60.2882
105,1040,1050,0.2583,1.55,60.5465
106,1050,1060,0.2569,1.541,60.8034
107,1060,1070,0.2555,1.533,61.0589
108,1070,1080,0.2542,1.525,61.3131
109,1080,1090,0.2529,1.517,61.566
110,1090,1100,0.2517,1.51,61.8177
111,1100,1110,0.2505,1.503,62.0682
112,1110,1120,0.2494,1.496,62.3176
113,1120,1130,0.2483,1.49,62.5659
114,1130,1140,0.2472,1.483,62.8131
115,1140,1150,0.2462,1.477,63.0593
116,1150,1160,0.2452,1.471,63.3045
117,1160,1170,0.2447,1.468,63.5492
118,1170,1180,0.2442,1.465,63.7934
119,1180,1190,0.2438,1.463,64.0372
120,1190,1200,0.2433,1.46,64.2805
121,1200,1210,0.2429,1.457,64.5234
122,1210,1220,0.2424,1.454,64.7658
123,1220,1230,0.242,1.452,65.0078
124,1230,1240,0.2416,1.45,65.2494
125,1240,1250,0.2411,1.447,65.4905
126,1250,1260,0.2407,1.444,65.7312
127,1260,1270,0.2403,1.442,65.9715
128,1270,1280,0.2399,1.439,66.2114
129,1280,1290,0.2395,1.437,66.4509
130,1290,1300,0.2391,1.435,66.69
131,1300,1310,0.2387,1.432,66.9287
132,1310,1320,0.2384,1.43,67.1671
133,1320,1330,0.238,1.428,67.4051
134,1330,1340,0.2376,1.426,67.6427
135,1340,1350,0.2372,1.423,67.8799
136,1350,1360,0.2369,1.421,68.1168
137,1360,1370,0.2365,1.419,68.3533
138,1370,1380,0.2362,1.417,68.5895
139,1380,1390,0.2358,1.415,68.8253
140,1390,1400,0.2355,1.413,69.0608
141,1400,1410,0.2352,1.411,69.296
142,1410,1420,0.2348,1.409,69.5308
143,1420,1430,0.2345,1.407,69.7653
144,1430,1440,0.2342,1.405,69.9995
