date,fromUTC,toUTC,mm,quality
2023-11-01,2023-11-01 06:00:01,2023-11-02 06:00:00,0.4,G
2023-11-02,2023-11-02 06:00:01,2023-11-03 06:00:00,5.2,G
2023-11-03,2023-11-03 06:00:01,2023-11-04 06:00:00,0.0,G
2023-11-04,2023-11-04 06:00:01,2023-11-05 06:00:00,0.0,G
2023-11-05,2023-11-05 06:00:01,2023-11-06 06:00:00,1.8,G
2023-11-06,2023-11-06 06:00:01,2023-11-07 06:00:00,1.1,G
2023-11-07,2023-11-07 06:00:01,2023-11-08 06:00:00,2.4,G
2023-11-08,2023-11-08 06:00:01,2023-11-09 06:00:00,5.8,G
2023-11-09,2023-11-09 06:00:01,2023-11-10 06:00:00,4.4,G
2023-11-10,2023-11-10 06:00:01,2023-11-11 06:00:00,0.9,G
2023-11-11,2023-11-11 06:00:01,2023-11-12 06:00:00,0.0,G
2023-11-12,2023-11-12 06:00:01,2023-11-13 06:00:00,0.2,G
2023-11-13,2023-11-13 06:00:01,2023-11-14 06:00:00,1.1,G
2023-11-14,2023-11-14 06:00:01,2023-11-15 06:00:00,2.6,G
2023-11-15,2023-11-15 06:00:01,2023-11-16 06:00:00,13.6,G
2023-11-16,2023-11-16 06:00:01,2023-11-17 06:00:00,36.9,G
2023-11-17,2023-11-17 06:00:01,2023-11-18 06:00:00,1.1,G
2023-11-18,2023-11-18 06:00:01,2023-11-19 06:00:00,0.0,G
2023-11-19,2023-11-19 06:00:01,2023-11-20 06:00:00,0.6,G
2023-11-20,2023-11-20 06:00:01,2023-11-21 06:00:00,0.0,G
2023-11-21,2023-11-21 06:00:01,2023-11-22 06:00:00,0.0,G
